title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
Three-Martini Lunch,£23.21,Three,In stock,Fiction,23.21,3,True,2448.66
The Nightingale,£26.26,Four,In stock,Fiction,26.26,4,True,2770.43
The Infinities,£27.41,One,In stock,Fiction,27.41,1,True,2891.76
The Husband's Secret,£52.51,Five,In stock,Fiction,52.51,5,True,5539.8
The Da Vinci Code (Robert Langdon #2),£22.96,Two,In stock,Fiction,22.96,2,True,2422.28
The Art of Fielding,£22.10,One,In stock,Fiction,22.1,1,True,2331.55
Lila (Gilead #3),£12.47,Three,In stock,Fiction,12.47,3,True,1315.58
Jurassic Park (Jurassic Park #1),£44.97,One,In stock,Fiction,44.97,1,True,4744.34
Inferno (Robert Langdon #4),£41.00,Five,In stock,Fiction,41.0,5,True,4325.5
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five,In stock,Fiction,49.13,5,True,5183.22
Big Little Lies,£22.11,One,In stock,Fiction,22.11,1,True,2332.6
The Course of Love,£16.78,Three,In stock,Fiction,16.78,3,True,1770.29
When I'm Gone,£51.96,Three,In stock,Fiction,51.96,3,True,5481.78
The Silent Wife,£12.34,Five,In stock,Fiction,12.34,5,True,1301.87
The Bette Davis Club,£30.66,Three,In stock,Fiction,30.66,3,True,3234.63
Kitchens of the Great Midwest,£57.20,Five,In stock,Fiction,57.2,5,True,6034.6
Bright Lines,£39.07,Five,In stock,Fiction,39.07,5,True,4121.88
Unicorn Tracks,£18.78,Three,In stock,Fantasy,18.78,3,True,1981.29
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock,Fantasy,25.02,3,True,2639.61
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock,Fantasy,13.34,5,True,1407.37
Masks and Shadows,£56.40,Two,In stock,Fantasy,56.4,2,True,5950.2
Crown of Midnight (Throne of Glass #2),£43.29,Three,In stock,Fantasy,43.29,3,True,4567.1
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,Two,In stock,Fantasy,28.09,2,True,2963.5
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,One,In stock,Fantasy,52.37,1,True,5525.04
Throne of Glass (Throne of Glass #1),£35.07,Three,In stock,Fantasy,35.07,3,True,3699.88
The Glittering Court (The Glittering Court #1),£44.28,One,In stock,Fantasy,44.28,1,True,4671.54
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,One,In stock,Fantasy,42.98,1,True,4534.39
The Star-Touched Queen,£46.02,Five,In stock,Fantasy,46.02,5,True,4855.11
The Hidden Oracle (The Trials of Apollo #1),£52.26,Two,In stock,Fantasy,52.26,2,True,5513.43
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four,In stock,Fantasy,44.73,4,True,4719.01
Island of Dragons (Unwanteds #7),£29.65,One,In stock,Fantasy,29.65,1,True,3128.08
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,Five,In stock,Fantasy,37.51,5,True,3957.3
City of Glass (The Mortal Instruments #3),£56.02,Four,In stock,Fantasy,56.02,4,True,5910.11
Searching for Meaning in Gailana,£38.73,One,In stock,Fantasy,38.73,1,True,4086.02
The Star-Touched Queen,£32.30,Five,In stock,Fantasy,32.3,5,True,3407.65
A Shard of Ice (The Black Symphony Saga #1),£56.63,Three,In stock,Fantasy,56.63,3,True,5974.46
King's Folly (The Kinsman Chronicles #1),£39.61,Five,In stock,Fantasy,39.61,5,True,4178.85
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,Five,In stock,Fantasy,12.16,5,True,1282.88
A Gathering of Shadows (Shades of Magic #2),£44.81,Four,In stock,Fantasy,44.81,4,True,4727.46
The Raven Boys (The Raven Cycle #1),£57.74,Four,In stock,Fantasy,57.74,4,True,6091.57
The False Prince (The Ascendance Trilogy #1),£56.00,Five,In stock,Fantasy,56.0,5,True,5908.0
Tell the Wind and Fire,£45.51,Three,In stock,Fantasy,45.51,3,True,4801.3
A Feast for Crows (A Song of Ice and Fire #4),£17.21,Four,In stock,Fantasy,17.21,4,True,1815.66
The Demonists (Demonist #1),£52.11,Two,In stock,Fantasy,52.11,2,True,5497.6
The Beast (Black Dagger Brotherhood #14),£46.08,Five,In stock,Fantasy,46.08,5,True,4861.44
Paper and Fire (The Great Library #2),£49.45,Five,In stock,Fantasy,49.45,5,True,5216.98
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,Four,In stock,Fantasy,31.63,4,True,3336.96
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,Five,In stock,Fantasy,48.75,5,True,5143.12
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,One,In stock,Fantasy,14.74,1,True,1555.07
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,Four,In stock,Fantasy,58.64,4,True,6186.52
Soldier (Talon #3),£24.72,Two,In stock,Fantasy,24.72,2,True,2607.96
Midnight Riot (Peter Grant/ Rivers of London - books #1),£55.46,Two,In stock,Fantasy,55.46,2,True,5851.03
Heir to the Sky,£44.07,Four,In stock,Fantasy,44.07,4,True,4649.38
Eragon (The Inheritance Cycle #1),£43.87,Three,In stock,Fantasy,43.87,3,True,4628.28
Darkfever (Fever #1),£56.02,One,In stock,Fantasy,56.02,1,True,5910.11
Ash,£22.06,Four,In stock,Fantasy,22.06,4,True,2327.33
A Storm of Swords (A Song of Ice and Fire #3),£31.22,Two,In stock,Fantasy,31.22,2,True,3293.71
Vampire Girl (Vampire Girl #1),£53.82,Two,In stock,Fantasy,53.82,2,True,5678.01
The Silent Twin (Detective Jennifer Knight #3),£36.25,Three,In stock,Fantasy,36.25,3,True,3824.38
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,One,In stock,Fantasy,29.38,1,True,3099.59
Sister Sable (The Mad Queen #1),£13.33,Three,In stock,Fantasy,13.33,3,True,1406.32
Shadow Rites (Jane Yellowrock #10),£21.72,Four,In stock,Fantasy,21.72,4,True,2291.46
Origins (Alphas 0.5),£28.99,One,In stock,Fantasy,28.99,1,True,3058.44
One Second (Seven #7),£52.94,Two,In stock,Fantasy,52.94,2,True,5585.17
Myriad (Prentor #1),£58.75,Four,In stock,Fantasy,58.75,4,True,6198.12
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance,25.27,5,True,2665.98
Black Dust,£34.53,Five,In stock,Romance,34.53,5,True,3642.92
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance,33.97,1,True,3583.84
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance,15.97,4,True,1684.84
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance,21.96,1,True,2316.78
The Wedding Dress,£24.12,One,In stock,Romance,24.12,1,True,2544.66
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance,55.99,2,True,5906.95
Something More Than This,£16.24,Four,In stock,Romance,16.24,4,True,1713.32
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance,35.61,3,True,3756.86
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance,32.61,3,True,3440.36
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance,28.82,1,True,3040.51
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance,40.83,4,True,4307.56
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance,53.98,3,True,5694.89
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance,47.67,3,True,5029.19
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance,14.75,5,True,1556.12
"Sit, Stay, Love",£20.90,Three,In stock,Romance,20.9,3,True,2204.95
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance,31.3,1,True,3302.15
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance,59.99,3,True,6328.95
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance,12.87,1,True,1357.78
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance,13.38,3,True,1411.59
A Walk to Remember,£56.43,One,In stock,Romance,56.43,1,True,5953.36
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance,12.25,1,True,1292.38
The Obsession,£45.43,One,In stock,Romance,45.43,1,True,4792.86
Reservations for Two,£11.10,Three,In stock,Romance,11.1,3,True,1171.05
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance,27.41,2,True,2891.76
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance,39.77,3,True,4195.74
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance,48.71,1,True,5138.9
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance,28.34,2,True,2989.87
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance,38.92,2,True,4106.06
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance,58.99,3,True,6223.45
Imperfect Harmony,£34.74,Four,In stock,Romance,34.74,4,True,3665.07
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance,39.24,3,True,4139.82
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance,47.09,5,True,4968.0
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance,41.24,1,True,4350.82
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance,37.26,4,True,3930.93
