title,price,star_rating,availability,category
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four,In stock,Fantasy
Island of Dragons (Unwanteds #7),£29.65,One,In stock,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,Five,In stock,Fantasy
City of Glass (The Mortal Instruments #3),£56.02,Four,In stock,Fantasy
Searching for Meaning in Gailana,£38.73,One,In stock,Fantasy
The Star-Touched Queen,£32.30,Five,In stock,Fantasy
A Shard of Ice (The Black Symphony Saga #1),£56.63,Three,In stock,Fantasy
King's Folly (The Kinsman Chronicles #1),£39.61,Five,In stock,Fantasy
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,Five,In stock,Fantasy
A Gathering of Shadows (Shades of Magic #2),£44.81,Four,In stock,Fantasy
The Raven Boys (The Raven Cycle #1),£57.74,Four,In stock,Fantasy
The False Prince (The Ascendance Trilogy #1),£56.00,Five,In stock,Fantasy
Tell the Wind and Fire,£45.51,Three,In stock,Fantasy
A Feast for Crows (A Song of Ice and Fire #4),£17.21,Four,In stock,Fantasy
The Demonists (Demonist #1),£52.11,Two,In stock,Fantasy
The Beast (Black Dagger Brotherhood #14),£46.08,Five,In stock,Fantasy
Paper and Fire (The Great Library #2),£49.45,Five,In stock,Fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,Four,In stock,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,Five,In stock,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,One,In stock,Fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,Four,In stock,Fantasy
Soldier (Talon #3),£24.72,Two,In stock,Fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),£55.46,Two,In stock,Fantasy
Heir to the Sky,£44.07,Four,In stock,Fantasy
Eragon (The Inheritance Cycle #1),£43.87,Three,In stock,Fantasy
Darkfever (Fever #1),£56.02,One,In stock,Fantasy
Ash,£22.06,Four,In stock,Fantasy
A Storm of Swords (A Song of Ice and Fire #3),£31.22,Two,In stock,Fantasy
Vampire Girl (Vampire Girl #1),£53.82,Two,In stock,Fantasy
The Silent Twin (Detective Jennifer Knight #3),£36.25,Three,In stock,Fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,One,In stock,Fantasy
Sister Sable (The Mad Queen #1),£13.33,Three,In stock,Fantasy
Shadow Rites (Jane Yellowrock #10),£21.72,Four,In stock,Fantasy
Origins (Alphas 0.5),£28.99,One,In stock,Fantasy
One Second (Seven #7),£52.94,Two,In stock,Fantasy
Myriad (Prentor #1),£58.75,Four,In stock,Fantasy
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance
Black Dust,£34.53,Five,In stock,Romance
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance
The Wedding Dress,£24.12,One,In stock,Romance
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance
Something More Than This,£16.24,Four,In stock,Romance
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance
"Sit, Stay, Love",£20.90,Three,In stock,Romance
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance
A Walk to Remember,£56.43,One,In stock,Romance
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance
The Obsession,£45.43,One,In stock,Romance
Reservations for Two,£11.10,Three,In stock,Romance
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance
Imperfect Harmony,£34.74,Four,In stock,Romance
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance
